wallet,credit_score,total_transactions,num_protocols,num_assets,active_days,activity_span_days,tx_frequency,activity_consistency,total_deposits_usd,total_withdrawals_usd,net_flow_usd,total_borrowed_usd,total_repaid_usd,utilization_ratio,repayment_ratio,avg_tx_amount_usd,std_tx_amount_usd,median_tx_amount_usd,max_tx_amount_usd,min_tx_amount_usd,avg_time_between_txs,std_time_between_txs,deposit_ratio,borrow_ratio,repay_ratio,liquidation_ratio,liquidation_count,failed_tx_ratio,avg_gas_fee,hourly_entropy,daily_entropy,portfolio_diversity,volume_consistency,financial_stability,activity_maturity,high_liquidation_risk,bot_like_behavior,whale_behavior,deposit_to_borrow_ratio,net_flow_ratio,risk_category
0x02eda208efc7d92efeaf7418833c3081a42dd3a1,1000,6,1,2,1,0.019837962962962963,6.0,50.40840140023337,1.5561743624735414e+21,1.5697421555728394e+21,-1.3567793099298046e+19,200079856.27189937,200854071.13744253,1.2857161838463406e-13,1.0038695292967976,5.209860863411303e+20,7.367959994050945e+20,150457640.2703728,1.5697421555728394e+21,1733.9533692720017,342.8,289.8630021234169,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0,0.0,0.0,0.6500224216483541,-0.0,2,1.4142335442767593,2.00386952929654,1.0,0,1,0,7777766256394.174,-0.008718684375272717,Excellent (800-1000)
0x060c5955567657dbc9c2374e4647bf9d10c011ac,1000,3,1,3,1,0.004814814814814815,3.0,207.69230769230768,9.558672345139347e+19,0.0,9.558672345139347e+19,0.0,0.0,0.0,0.0,3.186224115046449e+19,2.254892400754599e+19,4.66623653835161e+19,4.892435806324442e+19,4632955031.570873,208.0,84.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.9182958340544896,-0.0,3,0.7077005004469772,1.0,1.0,0,1,0,9.558672345139347e+19,1.0,Excellent (800-1000)
0x02ebdd4d10b91e3018c0706a39a02c5fe1c893ef,1000,4,1,2,1,0.0011574074074074073,4.0,864.0,7.007051254927081e+21,7.007051254927081e+21,0.0,9.01132247847015e+20,9.01132247847015e+20,0.1286036329780483,1.0,3.954091751387048e+21,3.0529595035400326e+21,3.954091751387048e+21,7.007051254927081e+21,9.01132247847015e+20,33.333333333333336,3.7712361663282534,0.25,0.25,0.25,0.0,0,0.0,0.0,-0.0,-0.0,2,0.7721013308477455,1.7721013308477458,1.0,0,1,0,7.775830097822297,0.0,Excellent (800-1000)
0x01ac60352b386d551222c877925f524d43725149,1000,5,1,2,1,0.005208333333333333,5.0,192.0,0.0,2.3346164394589657e+20,-2.3346164394589657e+20,0.0,0.0,0.0,0.0,4.669232878917932e+19,5.718619038415448e+19,12045208644.336857,1.1673794613026164e+20,3416288160.843325,112.5,117.7146974680732,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.0,-0.0,2,1.224744874952715,1.0,1.0,0,1,0,0.0,-2.3346164394589657e+20,Excellent (800-1000)
0x0450d81146ae1eb15d886b0a35673dbb9e74be19,1000,4,1,2,1,0.0010416666666666667,4.0,960.0,3.2105253312000033e+21,3.2105253312000033e+21,0.0,7.025405587200009e+20,7.025405587200009e+20,0.21882417556176426,1.0,1.956532944960002e+21,1.2539923862400013e+21,1.956532944960002e+21,3.2105253312000033e+21,7.025405587200009e+20,30.0,4.320493798938574,0.25,0.25,0.25,0.0,0,0.0,0.0,-0.0,-0.0,2,0.640925771002357,1.6409257710023568,1.0,0,1,0,4.569878979015026,0.0,Excellent (800-1000)
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1000,4,1,2,1,0.0006944444444444445,4.0,1440.0,5.480588573862458e+21,5.480588573862458e+21,0.0,2.366767191230522e+21,2.366767191230522e+21,0.43184544129400637,1.0,3.9236778825464897e+21,1.5569106913159679e+21,3.9236778825464897e+21,5.480588573862458e+21,2.366767191230522e+21,20.0,2.8284271247461903,0.25,0.25,0.25,0.0,0,0.0,0.0,-0.0,-0.0,2,0.39679880406123547,1.3967988040612356,1.0,0,1,0,2.315643293590278,0.0,Excellent (800-1000)
0x0011730224657eb527cf736039854c3a3f140e63,1000,4,1,2,1,0.0015972222222222223,4.0,626.0869565217391,1.5073242050250017e+21,1.520678661300002e+21,-1.335445627500023e+19,7.380253561825902e+20,7.380253561825902e+20,0.48962615588751107,1.0,1.126013394672546e+21,3.880167660025576e+20,1.1226747806037959e+21,1.520678661300002e+21,7.380253561825902e+20,46.0,18.83259585576738,0.25,0.25,0.25,0.0,0,0.0,0.0,-0.0,-0.0,2,0.34459338391387084,1.3426187450423834,1.0,0,1,0,2.0423745504105475,-0.008859710625279,Excellent (800-1000)
0x00120ea6fdbaf057eadc1bd149f957488444e92c,1000,4,1,2,1,0.05458333333333333,4.0,18.320610687022903,2.6112589171173402e+20,0.0,2.6112589171173402e+20,2602967.788219515,2616377.4015531503,9.968248537732221e-15,1.0051516631878137,6.528147292793481e+19,6.5281541510259925e+19,6.521456136150137e+19,1.306967689887339e+20,2602967.788219515,1572.0,1627.8239053001607,0.5,0.25,0.25,0.0,0,0.0,0.0,0.8112781244591328,-0.0,2,1.000001050563384,2.0051516631877937,1.0,0,1,0,100318487449228.92,1.0,Excellent (800-1000)
0x0452d528c990273208cd331b2c14de884354ea5b,1000,4,1,2,1,0.0009953703703703704,4.0,1004.6511627906976,7.071705303952511e+21,7.071705303952511e+21,0.0,2045333043.792003,2045333043.792003,2.8922769768825456e-13,1.0,3.5358526519772777e+21,3.535852651975233e+21,3.535852651977278e+21,7.071705303952511e+21,2045333043.792003,28.666666666666668,16.67999467092907,0.25,0.25,0.25,0.0,0,0.0,0.0,-0.0,-0.0,2,0.9999999999994217,1.9999999999994214,1.0,0,1,0,3457483524240.2573,0.0,Excellent (800-1000)
0x00b65668a962ee571a8f223abd696ab1bd3a391f,1000,4,1,1,1,0.008194444444444445,4.0,122.03389830508473,2001189.94767004,2001191.9488579864,-2.001187946414575,100059.39732410468,100059.39732410468,0.04999995000005,1.0,1050625.172794059,950565.7754702176,1050624.6724970723,2001191.9488579864,100059.39732410468,236.0,245.96476712461617,0.25,0.25,0.25,0.0,0,0.0,0.0,1.0,-0.0,1,0.9047611796518086,1.904761995464766,1.0,0,1,0,19.999820120521857,-9.999985002653202e-07,Excellent (800-1000)
